start_s,end_s,midi_or_hz,confidence
16.649,16.749,227.76,0.83
16.672,16.772,227.76,0.76
16.695,16.795,227.76,0.55
16.718,16.818,227.76,0.37
16.742,16.842,227.76,0.21
16.765,16.865,226.45,0.18
16.788,16.888,225.14,0.24
16.811,16.911,223.85,0.37
16.834,16.934,223.85,0.48
16.858,16.958,223.85,0.62
16.881,16.981,223.85,0.76
16.904,17.004,223.85,0.83
16.927,17.027,223.85,0.83
16.951,17.051,223.85,0.83
16.974,17.074,223.85,0.89
16.997,17.097,223.85,0.89
17.02,17.12,223.85,0.83
17.043,17.143,223.85,0.83
17.067,17.167,223.85,0.83
17.09,17.19,223.85,0.89
17.113,17.213,223.85,0.89
17.136,17.236,223.85,0.89
17.16,17.26,223.85,0.95
17.183,17.283,223.85,0.95
17.206,17.306,223.85,0.95
17.229,17.329,223.85,0.95
17.252,17.352,223.85,0.95
17.276,17.376,223.85,0.89
17.299,17.399,223.85,0.95
17.322,17.422,223.85,0.95
17.345,17.445,222.56,0.95
17.369,17.469,222.56,0.89
17.392,17.492,222.56,0.89
17.415,17.515,222.56,0.95
17.438,17.538,222.56,0.95
17.461,17.561,222.56,0.95
17.485,17.585,222.56,0.95
17.508,17.608,222.56,0.89
17.531,17.631,221.27,0.89
17.554,17.654,221.27,0.83
17.578,17.678,221.27,0.62
17.601,17.701,221.27,0.55
17.624,17.724,221.27,0.32
17.647,17.747,221.27,0.15
17.67,17.77,218.73,0.08
17.694,17.794,220.0,0.04
17.717,17.817,220.0,0.04
17.74,17.84,216.22,0.02
17.763,17.863,200.58,0.01
17.786,17.886,199.42,0.02
17.81,17.91,199.42,0.02
17.833,17.933,200.58,0.03
17.856,17.956,200.58,0.07
17.879,17.979,200.58,0.08
17.903,18.003,200.58,0.06
17.926,18.026,200.58,0.15
17.949,18.049,200.58,0.21
17.972,18.072,200.58,0.18
17.995,18.095,201.74,0.15
18.019,18.119,201.74,0.24
18.042,18.142,201.74,0.28
18.065,18.165,201.74,0.32
18.088,18.188,201.74,0.37
18.112,18.212,201.74,0.37
18.135,18.235,201.74,0.32
18.158,18.258,201.74,0.32
18.181,18.281,201.74,0.37
18.204,18.304,201.74,0.37
18.228,18.328,201.74,0.32
18.251,18.351,201.74,0.28
18.274,18.374,200.58,0.32
18.297,18.397,200.58,0.32
18.321,18.421,200.58,0.32
18.344,18.444,200.58,0.37
18.367,18.467,200.58,0.37
18.39,18.49,200.58,0.37
18.413,18.513,200.58,0.37
18.437,18.537,200.58,0.37
18.46,18.56,200.58,0.37
18.483,18.583,200.58,0.37
18.506,18.606,200.58,0.32
18.53,18.63,200.58,0.28
18.553,18.653,200.58,0.21
18.576,18.676,200.58,0.21
18.599,18.699,200.58,0.21
18.622,18.722,200.58,0.15
18.646,18.746,199.42,0.11
18.669,18.769,199.42,0.06
18.692,18.792,199.42,0.07
18.715,18.815,199.42,0.11
18.739,18.839,198.28,0.13
18.762,18.862,198.28,0.15
18.785,18.885,198.28,0.18
18.808,18.908,198.28,0.15
18.831,18.931,198.28,0.15
18.855,18.955,198.28,0.18
18.878,18.978,198.28,0.15
18.901,19.001,198.28,0.11
18.924,19.024,198.28,0.11
18.947,19.047,198.28,0.09
18.971,19.071,198.28,0.05
18.994,19.094,198.28,0.04
19.017,19.117,198.28,0.04
19.04,19.14,199.42,0.02
19.064,19.164,201.74,0.02
19.087,19.187,218.73,0.04
19.11,19.21,218.73,0.07
19.133,19.233,218.73,0.08
19.156,19.256,222.56,0.02
19.18,19.28,223.85,0.02
19.203,19.303,223.85,0.05
19.226,19.326,223.85,0.21
19.249,19.349,223.85,0.43
19.273,19.373,223.85,0.48
19.296,19.396,223.85,0.62
19.319,19.419,223.85,0.69
19.342,19.442,223.85,0.83
19.365,19.465,223.85,0.89
19.389,19.489,223.85,0.89
19.412,19.512,223.85,0.89
19.435,19.535,223.85,0.89
19.458,19.558,223.85,0.95
19.482,19.582,223.85,0.89
19.505,19.605,223.85,0.89
19.528,19.628,222.56,0.89
19.551,19.651,222.56,0.89
19.574,19.674,222.56,0.89
19.598,19.698,222.56,0.89
19.621,19.721,222.56,0.89
19.644,19.744,222.56,0.95
19.667,19.767,222.56,0.95
19.691,19.791,222.56,0.95
19.714,19.814,222.56,0.89
19.737,19.837,222.56,0.89
19.76,19.86,222.56,0.89
19.783,19.883,222.56,0.83
19.807,19.907,225.14,0.55
19.83,19.93,229.08,0.28
19.853,19.953,237.16,0.09
19.876,19.976,242.7,0.07
19.9,20.0,251.26,0.04
19.923,20.023,255.65,0.07
19.946,20.046,260.12,0.08
19.969,20.069,261.63,0.15
19.992,20.092,263.14,0.18
20.016,20.116,263.14,0.32
20.039,20.139,263.14,0.32
20.062,20.162,263.14,0.48
20.085,20.185,264.67,0.48
20.108,20.208,264.67,0.69
20.132,20.232,264.67,0.69
20.155,20.255,263.14,0.69
20.178,20.278,263.14,0.62
20.201,20.301,263.14,0.69
20.225,20.325,263.14,0.76
20.248,20.348,263.14,0.69
20.271,20.371,263.14,0.69
20.294,20.394,263.14,0.62
20.317,20.417,263.14,0.48
20.341,20.441,263.14,0.48
20.364,20.464,263.14,0.32
20.387,20.487,264.67,0.18
20.41,20.51,264.67,0.13
20.434,20.534,264.67,0.01
20.457,20.557,290.29,0.01
20.48,20.58,293.66,0.01
20.503,20.603,295.37,0.01
20.526,20.626,295.37,0.02
20.55,20.65,295.37,0.02
20.573,20.673,295.37,0.02
20.596,20.696,297.08,0.03
20.619,20.719,297.08,0.06
20.643,20.743,297.08,0.11
20.666,20.766,297.08,0.15
20.689,20.789,297.08,0.13
20.712,20.812,297.08,0.15
20.735,20.835,295.37,0.21
20.759,20.859,295.37,0.21
20.782,20.882,295.37,0.28
20.805,20.905,295.37,0.24
20.828,20.928,295.37,0.18
20.852,20.952,295.37,0.15
20.875,20.975,293.66,0.09
20.898,20.998,295.37,0.05
20.921,21.021,295.37,0.03
20.944,21.044,297.08,0.02
20.968,21.068,298.8,0.01
20.991,21.091,298.8,0.01
21.014,21.114,300.53,0.01
21.037,21.137,302.27,0.01
21.107,21.207,349.23,0.01
21.13,21.23,351.25,0.01
21.153,21.253,353.29,0.03
21.177,21.277,353.29,0.13
21.2,21.3,353.29,0.32
21.223,21.323,353.29,0.55
21.246,21.346,353.29,0.55
21.269,21.369,351.25,0.62
21.293,21.393,351.25,0.76
21.316,21.416,351.25,0.76
21.339,21.439,351.25,0.69
21.362,21.462,351.25,0.43
21.386,21.486,349.23,0.15
